,image_id,image_location,turtle_id
0,ID_2RK4WLN8,top,t_id_VP2NW7aV
1,ID_VVW0QXLX,left,t_id_qZ0iZYsC
2,ID_RVATH2HZ,Right,t_id_3b65X5Lw
3,ID_2GB90GPS,left,t_id_YjXYTCGC
4,ID_LM6S0B1M,top,t_id_d6aYXtor
5,ID_M23WYAY4,left,t_id_ksTLswDT
6,ID_8VXV1HDO,top,t_id_hRzOoJ2t
7,ID_RHU29QC9,left,t_id_utw0thCe
8,ID_4SG74XJ1,Top,t_id_k1rScFLB
9,ID_KXCS1UOR,left,t_id_n2FBHk6d
10,ID_7Y87NI7I,right,t_id_ZfvZBX4Q
11,ID_ZLVRXJZR,left,t_id_G5eoqwD8
12,ID_A1Z8O31H,top,t_id_FBsGDJhU
13,ID_V9OTO8MH,right,t_id_Ts5LyVQz
14,ID_6Y4FG4BB,right,t_id_NW7wn8TC
15,ID_2LXSCM50,left,t_id_JI6ba2Yx
16,ID_TGN9OBL2,left,t_id_ifWwxWF4
17,ID_ULAKU6DJ,right,t_id_uIlC9Gfo
18,ID_S6FL4KD3,right,t_id_dVQ4x3wz
19,ID_3L6M3RWM,right,t_id_3K93fQBS
20,ID_Z8AKLN0N,left,t_id_hRzOoJ2t
21,ID_10S4M153,top,t_id_IlO9BOKc
22,ID_XP6OWWQW,right,t_id_DPYQnZyv
23,ID_SCKMVRWX,left,t_id_ROFhVsy2
24,ID_XZJJ5JKN,right,t_id_BI99coHt
25,ID_I7XE1RII,left,t_id_GrxmyS59
26,ID_JICN2IP3,right,t_id_AOWArhGb
27,ID_891VOTKK,left,t_id_4XiPKIk7
28,ID_WWMKB8ZD,top,t_id_mpuNp8mf
29,ID_O3K6N0PN,left,t_id_stWei2Uq
30,ID_3SY3WRKR,top,t_id_15bo4NKD
31,ID_R1R94L1C,left,t_id_QqeoI5F3
32,ID_F84YDUV1,left,t_id_NW7wn8TC
33,ID_Y3N4ES3O,right,t_id_Kf73l69A
34,ID_EU9I4R8T,left,t_id_Kf73l69A
35,ID_1E6X2GLW,right,t_id_Kc1tXDbJ
36,ID_ZT7NN2BN,top,t_id_AOWArhGb
37,ID_HDJEY7GV,right,t_id_2Yn71r7R
38,ID_VXC0GWEK,top,t_id_iZQiE7wb
39,ID_1EAHT0TG,right,t_id_m2JvEcsg
40,ID_V1PZ6AR5,top,t_id_a4VYrmyA
41,ID_IS1EW5KB,top,t_id_hRzOoJ2t
42,ID_BPL211JZ,Right,t_id_3b65X5Lw
43,ID_MHIMCE5O,left,t_id_UVQa4BMz
44,ID_19M73WWV,right,t_id_tjWepji1
45,ID_2A9SNF98,right,t_id_hRzOoJ2t
46,ID_JZZF3AJ5,right,t_id_UVQa4BMz
47,ID_PITDB70K,left,t_id_BXWccqAn
48,ID_489B62RG,right,t_id_1KIezxkh
49,ID_X8HHIP6P,left,t_id_e9i3Lbq4
50,ID_E3U6IY1D,top,t_id_AOWArhGb
51,ID_4G07YNGA,left,t_id_YjXYTCGC
52,ID_P7LXRA4M,left,t_id_4XiPKIk7
53,ID_IOKYX7ZF,right,t_id_Kf73l69A
54,ID_I3A1FMQ8,right,t_id_qZ0iZYsC
55,ID_G0B2CPBT,left,t_id_bYageLYA
56,ID_BW9BPB5F,left,t_id_AOWArhGb
57,ID_N7VYJGMW,right,t_id_JI6ba2Yx
58,ID_46LUQOPY,right,t_id_8b8sprYe
59,ID_IZB1O90H,right,t_id_2QmcRkNj
60,ID_G7D2IW6Z,top,t_id_UVQa4BMz
61,ID_E1VTOK0D,right,t_id_iZQiE7wb
62,ID_BP9DTP1R,top,t_id_9GFmcOd5
63,ID_I3BS8QHQ,left,t_id_smNwfXAT
64,ID_6Z5TCW8Q,top,t_id_hibDzPAP
65,ID_XLATFLE4,top,t_id_D3kHUEgp
66,ID_Z2ILP0TR,top,t_id_e9i3Lbq4
67,ID_FVIB6JCX,left,t_id_ROFhVsy2
68,ID_PVJNH2XA,top,t_id_Ts5LyVQz
69,ID_D0KS9Z47,top,t_id_mpuNp8mf
70,ID_36LEVX0D,right,t_id_ksTLswDT
71,ID_DY6J47U4,right,t_id_Ts5LyVQz
72,ID_9ITS1S4K,Top,t_id_B7LaSiac
73,ID_T44CRJ0L,top,t_id_Kf73l69A
74,ID_UDWBD3B8,top,t_id_VP2NW7aV
75,ID_H20MDDZJ,top,t_id_qZ0iZYsC
76,ID_TIPS2OY1,left,t_id_m2JvEcsg
77,ID_3XOEESPD,top,t_id_fjHGjp1w
78,ID_FOD2ERLL,top,t_id_gJaKYxBQ
79,ID_BKVAYKO9,right,t_id_72SiiZCp
80,ID_P8HXJ2SR,left,t_id_8b8sprYe
81,ID_5H36XGUB,top,t_id_Kf73l69A
82,ID_3G500MQW,left,t_id_IP1t15lD
83,ID_EPVDPWJW,right,t_id_uJXT7dGu
84,ID_8TZXG7TF,left,t_id_7gFFZy7i
85,ID_XZNBVORT,right,t_id_uJXT7dGu
86,ID_CFRODR7F,top,t_id_YjXYTCGC
87,ID_2OORWNWM,right,t_id_hRzOoJ2t
88,ID_VIN9WYSK,top,t_id_72SiiZCp
89,ID_36IV1E98,top,t_id_87CLFCvE
90,ID_XRWSJPHZ,left,t_id_DPYQnZyv
91,ID_EMH5M4GV,left,t_id_ROFhVsy2
92,ID_PKH2VH9R,top,t_id_VP2NW7aV
93,ID_ZSBS0O3K,top,t_id_ROFhVsy2
94,ID_MRC6SLLH,top,t_id_J5dngbNA
95,ID_Q31894PE,top,t_id_HcnnlRda
96,ID_HPQ5LB6B,top,t_id_WDCMGvI4
97,ID_X544I2JH,right,t_id_ROFhVsy2
98,ID_1DDCV5Q1,right,t_id_stWei2Uq
99,ID_ZTSBEHTH,top,t_id_dVQ4x3wz
100,ID_0GMRVK1K,right,t_id_uJXT7dGu
101,ID_OMJ51VAU,left,t_id_Kf73l69A
102,ID_75Q12DUU,left,t_id_fjHGjp1w
103,ID_3MZMD48C,right,t_id_m2JvEcsg
104,ID_HDQ2HTRZ,left,t_id_DPYQnZyv
105,ID_R34ZH4EL,left,t_id_Kf73l69A
106,ID_51GXXQ2Y,right,t_id_JI6ba2Yx
107,ID_8RH9U956,right,t_id_utw0thCe
108,ID_DLCCII6A,top,t_id_g9Fz8PH7
109,ID_1Y1QRZWC,top,t_id_BXWccqAn
110,ID_IPBCA1K4,top,t_id_SwQZGIpa
111,ID_232HUB3N,right,t_id_IlO9BOKc
112,ID_CPRH40QQ,Right,t_id_p77GDtzg
113,ID_0ZZ13T2Q,left,t_id_Kf73l69A
114,ID_N9HS1KQF,left,t_id_D0gA44av
115,ID_3DCZRDYS,top,t_id_JI6ba2Yx
116,ID_BFEIUVKE,left,t_id_OqU1NWEA
117,ID_C9Z8OH3Q,right,t_id_VP2NW7aV
118,ID_X88JUXRH,top,t_id_MwnEYfqe
119,ID_3G585E73,right,t_id_QqeoI5F3
120,ID_JQ880K3B,top,t_id_YjXYTCGC
121,ID_MZJ7T2HY,Right,t_id_HxxqrdTx
122,ID_3KQPOZH2,right,t_id_IP3xtKuX
123,ID_08VEIX80,top,t_id_Ts5LyVQz
124,ID_EHBK5QZB,right,t_id_SwQZGIpa
125,ID_TJQHHY6Z,right,t_id_JI6ba2Yx
126,ID_9P43KND6,right,t_id_uJXT7dGu
127,ID_I9I34HP4,top,t_id_hRzOoJ2t
128,ID_29XH0KCY,top,t_id_BI99coHt
129,ID_UG2TVKMW,left,t_id_8b8sprYe
130,ID_PG9GEBED,left,t_id_qZ0iZYsC
131,ID_S92A4W3D,right,t_id_4ZfTUmwL
132,ID_XNPX3JSB,left,t_id_DbmclTcj
133,ID_4G43AB8P,top,t_id_AMnriNb5
134,ID_FI2HUMDU,top,t_id_dVQ4x3wz
135,ID_C8VF2TP8,right,t_id_2QmcRkNj
136,ID_89PTEHFL,left,t_id_fxTQ5vHC
137,ID_A23ODPZB,left,t_id_4XiPKIk7
138,ID_RO6NL9CS,top,t_id_J24awAHQ
139,ID_TMGBD56H,right,t_id_QqeoI5F3
